Id da Entrega: 1; Id do Cliente: ana92; Id do Estafeta: ricardo; Classificação: None; Preço: 30.9; Veículo: 3; Caminho: ['Health Planet', 'Ucha', 'Pousa', 'Martim', 'Cabreiros', 'Sequeira']; Distância: 17.9; Tempo Previsto: 0.4467182430746194; Id da Encomenda: 15; Algoritmo: A*
Id da Entrega: 2; Id do Cliente: maria85; Id do Estafeta: ricardo; Classificação: None; Preço: 42.95; Veículo: 3; Caminho: ['Sequeira', 'Cabreiros', 'Martim', 'Pousa', 'Areias', 'São Martinho', 'Santa Maria', 'Lijó', 'Campo', 'Aborim', 'Cossourado']; Distância: 29.7; Tempo Previsto: 1.287921138008485; Id da Encomenda: 75,107; Algoritmo: A*
Id da Entrega: 3; Id do Cliente: ana42; Id do Estafeta: ricardo; Classificação: 3.5; Preço: 39.56; Veículo: 3; Caminho: ['Cossourado', 'Panque', 'Alheira', 'Oliveira', 'Health Planet', 'Merelim São Paio', 'Palmeira']; Distância: 33.0; Tempo Previsto: 2.211479910157225; Id da Encomenda: 91; Algoritmo: A*
Id da Entrega: 4; Id do Cliente: margarida68; Id do Estafeta: hugo; Classificação: None; Preço: 28.38; Veículo: 2; Caminho: ['Health Planet', 'Merelim São Paio', 'Frossos', 'Real', 'Maximinos', 'Lomar', 'Esporões', 'Trandeiras', 'Leitões', 'Brito']; Distância: 34.4; Tempo Previsto: 1.3307543520309477; Id da Encomenda: 12; Algoritmo: A*
Id da Entrega: 5; Id do Cliente: bruno94; Id do Estafeta: hugo; Classificação: None; Preço: 20.15; Veículo: 2; Caminho: ['Brito', 'Ronfe', 'Gondar', 'Pedome', 'Oliveira (S.M)', 'Oliveira (S.Mateus)', 'Delães', 'Bairro']; Distância: 17.8; Tempo Previsto: 2.1193423597678915; Id da Encomenda: 17; Algoritmo: A*
Id da Entrega: 6; Id do Cliente: ana42; Id do Estafeta: hugo; Classificação: 4.5; Preço: 28.499999999999996; Veículo: 2; Caminho: ['Bairro', 'Delães', 'Oliveira (S.Mateus)', 'Oliveira (S.M)', 'Mogege', 'Joane', 'Airão', 'Escudeiros', 'Celeirós', 'Ferreiros', 'Real', 'Palmeira']; Distância: 38.199999999999996; Tempo Previsto: 3.697098646034816; Id da Encomenda: 109; Algoritmo: A*
Id da Entrega: 7; Id do Cliente: ana92; Id do Estafeta: andre; Classificação: None; Preço: 21.06; Veículo: 2; Caminho: ['Health Planet', 'Ucha', 'Pousa', 'Martim', 'Cabreiros', 'Sequeira']; Distância: 17.9; Tempo Previsto: 0.700587084148728; Id da Encomenda: 36; Algoritmo: A*
Id da Entrega: 8; Id do Cliente: diogo75; Id do Estafeta: andre; Classificação: None; Preço: 23.729999999999997; Veículo: 2; Caminho: ['Sequeira', 'Tadim', 'Ruílhe', 'Arentim', 'Arnoso', 'Lemenhe', 'Viatodos', 'Gondifelos']; Distância: 23.9; Tempo Previsto: 1.7360078277886495; Id da Encomenda: 40; Algoritmo: A*
Id da Entrega: 9; Id do Cliente: joseph81; Id do Estafeta: francisco; Classificação: 3.2; Preço: 13.581; Veículo: 1; Caminho: ['Health Planet', 'Merelim São Paio', 'Palmeira', 'Adaúfe', 'Santa Lucrécia']; Distância: 22.7; Tempo Previsto: 2.6242774566473988; Id da Encomenda: 10; Algoritmo: A*
Id da Entrega: 10; Id do Cliente: miguel82; Id do Estafeta: francisco; Classificação: None; Preço: 9.747; Veículo: 1; Caminho: ['Santa Lucrécia', 'Este', 'Nogueiró', 'Nogueira', 'Esporões', 'Figueiredo']; Distância: 18.299999999999997; Tempo Previsto: 4.781381773194161; Id da Encomenda: 41; Algoritmo: A*
Id da Entrega: 11; Id do Cliente: lucia73; Id do Estafeta: francisco; Classificação: None; Preço: 10.437000000000001; Veículo: 1; Caminho: ['Figueiredo', 'Escudeiros', 'Airão', 'Ronfe', 'Gondar', 'Serzedelo', 'Guardizela']; Distância: 21.7; Tempo Previsto: 7.185480307914908; Id da Encomenda: 26; Algoritmo: A*
